0 1 2 3 4 5 6 7
0 1 2 5 7 8 10 13
0 1 2 5 7 8 11 13
0 1 2 5 7 8 11 14
0 1 2 5 7 9 10 11
0 1 2 5 7 9 10 13
0 1 2 5 7 10 11 14
0 1 2 5 7 11 13 14
0 1 2 5 8 9 10 11
0 1 2 5 8 9 10 13
0 1 2 5 8 10 11 14
0 1 2 5 8 11 13 14
0 1 2 5 9 10 13 14
0 1 2 5 9 11 12 13
0 1 2 5 9 11 13 14
0 1 2 5 9 12 13 14
0 1 2 5 10 11 12 13
0 1 2 5 11 12 13 14
0 1 3 5 2 4 7 8
0 1 3 5 4 6 7 8
0 1 3 5 4 7 10 11
0 1 3 5 4 8 10 11
0 1 3 5 6 7 8 10
0 1 3 5 6 7 8 11
0 1 3 5 6 7 10 11
0 1 3 5 6 9 10 13
0 1 3 5 6 9 12 13
0 1 3 5 7 8 9 10
0 1 3 5 7 8 10 13
0 1 3 5 7 8 11 13
0 1 3 5 7 8 11 14
0 1 3 5 7 9 10 11
0 1 3 5 7 9 10 13
0 1 3 5 7 10 11 14
0 1 3 5 7 11 13 14
0 1 3 5 8 9 10 11
0 1 3 5 8 9 10 13
0 1 3 5 8 10 11 14
0 1 3 5 8 11 13 14
0 1 3 5 9 10 13 14
0 1 3 5 9 11 12 13
0 1 3 5 9 11 13 14
0 1 3 5 9 12 13 14
0 1 3 5 10 11 12 13
0 1 3 5 11 12 13 14
0 1 3 6 2 4 7 8
0 1 3 6 2 5 7 8
0 1 3 6 4 5 7 10
0 1 3 6 4 5 7 11
0 1 3 6 4 5 8 10
0 1 3 6 4 5 8 11
0 1 3 6 4 7 10 11
0 1 3 6 4 8 10 11
0 1 3 6 5 7 10 11
0 1 3 6 5 8 10 11
0 1 3 6 7 8 9 10
0 1 3 6 7 8 10 13
0 1 3 6 7 8 11 13
0 1 3 6 7 8 11 14
0 1 3 6 7 9 10 11
0 1 3 6 7 9 10 13
0 1 3 6 7 10 11 14
0 1 3 6 7 11 13 14
0 1 3 6 8 9 10 11
0 1 3 6 8 9 10 13
0 1 3 6 8 10 11 14
0 1 3 6 8 11 13 14
0 1 3 6 9 10 13 14
0 1 3 6 9 11 12 13
0 1 3 6 9 11 13 14
0 1 3 6 9 12 13 14
0 1 3 6 10 11 12 13
0 1 3 6 11 12 13 14
0 1 4 5 6 7 8 10
0 1 4 5 6 7 8 11
0 1 4 5 6 7 10 11
0 1 4 5 6 9 10 13
0 1 4 5 6 9 12 13
0 1 4 5 7 8 9 10
0 1 4 5 7 8 10 13
0 1 4 5 7 8 11 13
0 1 4 5 7 8 11 14
0 1 4 5 7 9 10 11
0 1 4 5 7 9 10 13
0 1 4 5 7 10 11 14
0 1 4 5 7 11 13 14
0 1 4 5 8 9 10 11
0 1 4 5 8 9 10 13
0 1 4 5 8 10 11 14
0 1 4 5 8 11 13 14
0 1 4 5 9 10 13 14
0 1 4 5 9 11 12 13
0 1 4 5 9 11 13 14
0 1 4 5 9 12 13 14
0 1 4 5 10 11 12 13
0 1 4 5 11 12 13 14
1 2 3 5 4 6 7 8
1 2 3 5 4 7 10 11
1 2 3 5 4 8 10 11
1 2 3 5 6 7 8 10
1 2 3 5 6 7 8 11
1 2 3 5 6 7 10 11
1 2 3 5 6 9 10 13
1 2 3 5 6 9 12 13
1 2 3 5 7 8 9 10
1 2 3 5 7 8 10 13
1 2 3 5 7 8 11 13
1 2 3 5 7 8 11 14
1 2 3 5 7 9 10 11
1 2 3 5 7 9 10 13
1 2 3 5 7 10 11 14
1 2 3 5 7 11 13 14
1 2 3 5 8 9 10 11
1 2 3 5 8 9 10 13
1 2 3 5 8 10 11 14
1 2 3 5 8 11 13 14
1 2 3 5 9 10 13 14
1 2 3 5 9 11 12 13
1 2 3 5 9 11 13 14
1 2 3 5 9 12 13 14
1 2 3 5 10 11 12 13
1 2 3 5 11 12 13 14
1 2 4 7 5 8 10 11
1 2 4 7 6 9 10 13
1 2 4 7 6 9 12 13
1 2 4 7 8 9 10 11
1 2 4 7 8 9 10 13
1 2 4 7 8 10 11 14
1 2 4 7 8 11 13 14
1 2 4 7 9 10 13 14
1 2 4 7 9 11 12 13
1 2 4 7 9 11 13 14
1 2 4 7 9 12 13 14
1 2 4 7 10 11 12 13
1 2 4 7 11 12 13 14
1 2 4 8 5 7 10 11
1 2 4 8 6 7 10 11
1 2 4 8 6 9 10 13
1 2 4 8 6 9 12 13
1 2 4 8 7 9 10 11
1 2 4 8 7 9 10 13
1 2 4 8 7 10 11 14
1 2 4 8 7 11 13 14
1 2 4 8 9 10 13 14
1 2 4 8 9 11 12 13
1 2 4 8 9 11 13 14
1 2 4 8 9 12 13 14
1 2 4 8 10 11 12 13
1 2 4 8 11 12 13 14
1 2 5 7 4 8 10 11
1 2 5 7 6 9 10 13
1 2 5 7 6 9 12 13
1 2 5 7 8 9 10 11
1 2 5 7 8 9 10 13
1 2 5 7 8 10 11 14
1 2 5 7 8 11 13 14
1 2 5 7 9 10 13 14
1 2 5 7 9 11 12 13
1 2 5 7 9 11 13 14
1 2 5 7 9 12 13 14
1 2 5 7 10 11 12 13
1 2 5 7 11 12 13 14
1 2 5 8 4 7 10 11
1 2 5 8 6 7 10 11
1 2 5 8 6 9 10 13
1 2 5 8 6 9 12 13
1 2 5 8 7 9 10 11
1 2 5 8 7 9 10 13
1 2 5 8 7 10 11 14
1 2 5 8 7 11 13 14
1 2 5 8 9 10 13 14
1 2 5 8 9 11 12 13
1 2 5 8 9 11 13 14
1 2 5 8 9 12 13 14
1 2 5 8 10 11 12 13
1 2 5 8 11 12 13 14
1 3 4 6 2 5 7 8
1 3 4 6 5 7 10 11
1 3 4 6 5 8 10 11
1 3 4 6 7 8 9 10
1 3 4 6 7 8 10 13
1 3 4 6 7 8 11 13
1 3 4 6 7 8 11 14
1 3 4 6 7 9 10 11
1 3 4 6 7 9 10 13
1 3 4 6 7 10 11 14
1 3 4 6 7 11 13 14
1 3 4 6 8 9 10 11
1 3 4 6 8 9 10 13
1 3 4 6 8 10 11 14
1 3 4 6 8 11 13 14
1 3 4 6 9 10 13 14
1 3 4 6 9 11 12 13
1 3 4 6 9 11 13 14
1 3 4 6 9 12 13 14
1 3 4 6 10 11 12 13
1 3 4 6 11 12 13 14
1 3 4 7 5 8 10 11
1 3 4 7 6 9 10 13
1 3 4 7 6 9 12 13
1 3 4 7 8 9 10 11
1 3 4 7 8 9 10 13
1 3 4 7 8 10 11 14
1 3 4 7 8 11 13 14
1 3 4 7 9 10 13 14
1 3 4 7 9 11 12 13
1 3 4 7 9 11 13 14
1 3 4 7 9 12 13 14
1 3 4 7 10 11 12 13
1 3 4 7 11 12 13 14
1 3 4 8 5 7 10 11
1 3 4 8 6 7 10 11
1 3 4 8 6 9 10 13
1 3 4 8 6 9 12 13
1 3 4 8 7 9 10 11
1 3 4 8 7 9 10 13
1 3 4 8 7 10 11 14
1 3 4 8 7 11 13 14
1 3 4 8 9 10 13 14
1 3 4 8 9 11 12 13
1 3 4 8 9 11 13 14
1 3 4 8 9 12 13 14
1 3 4 8 10 11 12 13
1 3 4 8 11 12 13 14
1 4 7 8 6 9 10 13
1 4 7 8 6 9 12 13
1 4 7 8 9 10 13 14
1 4 7 8 9 11 12 13
1 4 7 8 9 11 13 14
1 4 7 8 9 12 13 14
1 4 7 8 10 11 12 13
1 4 7 8 11 12 13 14
1 5 7 8 6 9 10 13
1 5 7 8 6 9 12 13
1 5 7 8 9 10 13 14
1 5 7 8 9 11 12 13
1 5 7 8 9 11 13 14
1 5 7 8 9 12 13 14
1 5 7 8 10 11 12 13
1 5 7 8 11 12 13 14
2 3 4 5 6 7 8 10
2 3 4 5 6 7 8 11
2 3 4 5 6 7 10 11
2 3 4 5 6 9 10 13
2 3 4 5 6 9 12 13
2 3 4 5 7 8 9 10
2 3 4 5 7 8 10 13
2 3 4 5 7 8 11 13
2 3 4 5 7 8 11 14
2 3 4 5 7 9 10 11
2 3 4 5 7 9 10 13
2 3 4 5 7 10 11 14
2 3 4 5 7 11 13 14
2 3 4 5 8 9 10 11
2 3 4 5 8 9 10 13
2 3 4 5 8 10 11 14
2 3 4 5 8 11 13 14
2 3 4 5 9 10 13 14
2 3 4 5 9 11 12 13
2 3 4 5 9 11 13 14
2 3 4 5 9 12 13 14
2 3 4 5 10 11 12 13
2 3 4 5 11 12 13 14
2 4 7 8 6 9 10 13
2 4 7 8 6 9 12 13
2 4 7 8 9 10 13 14
2 4 7 8 9 11 12 13
2 4 7 8 9 11 13 14
2 4 7 8 9 12 13 14
2 4 7 8 10 11 12 13
2 4 7 8 11 12 13 14
2 5 7 8 6 9 10 13
2 5 7 8 6 9 12 13
2 5 7 8 9 10 13 14
2 5 7 8 9 11 12 13
2 5 7 8 9 11 13 14
2 5 7 8 9 12 13 14
2 5 7 8 10 11 12 13
2 5 7 8 11 12 13 14
3 4 5 7 6 9 10 13
3 4 5 7 6 9 12 13
3 4 5 7 8 9 10 11
3 4 5 7 8 9 10 13
3 4 5 7 8 10 11 14
3 4 5 7 8 11 13 14
3 4 5 7 9 10 13 14
3 4 5 7 9 11 12 13
3 4 5 7 9 11 13 14
3 4 5 7 9 12 13 14
3 4 5 7 10 11 12 13
3 4 5 7 11 12 13 14
3 4 5 8 6 7 10 11
3 4 5 8 6 9 10 13
3 4 5 8 6 9 12 13
3 4 5 8 7 9 10 11
3 4 5 8 7 9 10 13
3 4 5 8 7 10 11 14
3 4 5 8 7 11 13 14
3 4 5 8 9 10 13 14
3 4 5 8 9 11 12 13
3 4 5 8 9 11 13 14
3 4 5 8 9 12 13 14
3 4 5 8 10 11 12 13
3 4 5 8 11 12 13 14
3 4 7 8 6 9 10 13
3 4 7 8 6 9 12 13
3 4 7 8 9 10 13 14
3 4 7 8 9 11 12 13
3 4 7 8 9 11 13 14
3 4 7 8 9 12 13 14
3 4 7 8 10 11 12 13
3 4 7 8 11 12 13 14
4 5 6 7 8 9 10 11
4 5 6 7 8 9 10 13
4 5 6 7 8 10 11 14
4 5 6 7 8 11 13 14
4 5 6 7 9 10 13 14
4 5 6 7 9 11 12 13
4 5 6 7 9 11 13 14
4 5 6 7 9 12 13 14
4 5 6 7 10 11 12 13
4 5 6 7 11 12 13 14
4 5 7 10 6 9 12 13
4 5 7 10 8 11 13 14
4 5 7 10 9 11 12 13
4 5 7 10 9 11 13 14
4 5 7 10 9 12 13 14
4 5 7 10 11 12 13 14
4 5 7 11 6 9 10 13
4 5 7 11 6 9 12 13
4 5 7 11 8 9 10 13
4 5 7 11 9 10 13 14
4 5 7 11 9 12 13 14
4 5 8 10 6 9 12 13
4 5 8 10 7 11 13 14
4 5 8 10 9 11 12 13
4 5 8 10 9 11 13 14
4 5 8 10 9 12 13 14
4 5 8 10 11 12 13 14
4 5 8 11 6 9 10 13
4 5 8 11 6 9 12 13
4 5 8 11 7 9 10 13
4 5 8 11 9 10 13 14
4 5 8 11 9 12 13 14
4 6 7 8 9 10 13 14
4 6 7 8 9 11 12 13
4 6 7 8 9 11 13 14
4 6 7 8 9 12 13 14
4 6 7 8 10 11 12 13
4 6 7 8 11 12 13 14
4 7 10 11 6 9 12 13
4 7 10 11 9 12 13 14
4 8 10 11 6 9 12 13
4 8 10 11 9 12 13 14
5 6 7 8 9 10 13 14
5 6 7 8 9 11 12 13
5 6 7 8 9 11 13 14
5 6 7 8 9 12 13 14
5 6 7 8 10 11 12 13
5 6 7 8 11 12 13 14
5 7 10 11 6 9 12 13
5 7 10 11 9 12 13 14
5 8 10 11 6 9 12 13
5 8 10 11 9 12 13 14
6 7 8 10 9 11 12 13
6 7 8 10 9 11 13 14
6 7 8 10 9 12 13 14
6 7 8 10 11 12 13 14
6 7 8 11 9 10 13 14
6 7 8 11 9 12 13 14
6 7 10 11 9 12 13 14
6 9 10 13 7 8 11 14
6 9 12 13 7 8 11 14
6 9 12 13 7 10 11 14
6 9 12 13 8 10 11 14
7 8 9 10 11 12 13 14
